Year;CP;Estimation_method;Estimation_method_detailed;Road;RoadCategory;Easting;Northing;Longitute;Latitude;StartJunction;EndJunction;LinkLength_miles;LinkLength_kilometres;Motorcycles;CarsTaxis;BusesCoaches;LightGoodsVehicles;AllHGVs;AllMotorVehicles;;MotorcycleCO2PerKilometer;CarsTaxisCO2PerKilometer;BusesCoachesCO2PerKilometer;LightGoodsVehiclesCO2PerKilometer;AllHGVsCO2PerKilometer;TotalEmissionsPerSection;;Rank;
2000;1041;Estimated;Estimated using previous year's AADF on this link;A956;PU;394400;809000;;;A978;B997 Balgownie Road;0.81;;69.29;5962.27;280.98;966.78;576.71;7856.03;;;;;;;;;;
2000;1042;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393250;805600;;;A93;A978;0.19;;10.89;1022.44;50.08;160.64;27.42;1271.47;;;;;;;;;;
2000;1178;Counted;Manual count;A90;TU;391560;808000;;;A9011;A9012;0.87;;118.12;10475.96;137.17;1020.51;883.98;12635.74;;;;;;;;;;
2000;1213;Estimated;Estimated using previous year's AADF on this link;A96;TR;384900;811400;;;B979;B979;1.55;;73.14;7529.78;71.44;1150.45;679.27;9504.07;;;;;;;;;;
2000;10775;Counted;Manual count;A956;PU;394600;810000;;;B997 Balgownie Road;A90;0.75;;95.53;6773.26;204.12;807.77;550.85;8431.54;;;;;;;;;;
2000;10859;Counted;Manual count;A93;PR;387200;802070;;;B979;Old Ferry Rd;1.74;;57.79;8195.84;137.8;676.32;189.88;9257.63;;;;;;;;;;
2000;10989;Estimated;Estimated using previous year's AADF on this link;A90;TU;392900;803560;;;B9077 Leggart Terrace;A9013;0.19;;17.28;2171.57;3.27;239.64;18.17;2449.92;;;;;;;;;;
2000;10990;Counted;Manual count;A947;PU;389010;811700;;;Riverview Drive;A96;3.04;;171.14;21274.04;344.51;1782.56;1150.22;24722.48;;;;;;;;;;
2000;20853;Estimated;Estimated using previous year's AADF on this link;A9013;PU;394400;806330;;;B986;A96/A956;0.43;;50.49;1557.92;281.64;307.36;53.34;2250.75;;;;;;;;;;
2000;20854;Estimated;Estimated using previous year's AADF on this link;A90;TR;392900;803000;;;A956;Cairngorm Rd;1.74;;116.21;15457.54;66.04;2054.36;857.31;18551.46;;;;;;;;;;
2000;20868;Estimated;Estimated using previous year's AADF on this link;A96;PU;392000;809050;;;A90;A978;1.24;;112.49;8778.09;262.18;1645.66;818.75;11617.17;;;;;;;;;;
2000;20987;Estimated;Estimated using previous year's AADF on this link;A90;TU;391620;805200;;;A93;B9119 Queen's Road;0.62;;53.75;5647.33;19.73;906.98;449.97;7077.76;;;;;;;;;;
2000;21002;Estimated;Estimated using previous year's AADF on this link;A978;PU;392640;808000;;;A9012;A96;0.56;;16.13;2388.21;28.58;234.13;32.46;2699.49;;;;;;;;;;
2000;30854;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393200;805300;;;B9077;A93;0.19;;20.55;1244.45;54.57;179.56;22.05;1521.17;;;;;;;;;;
2000;30860;Estimated;Estimated using previous year's AADF on this link;A93;PU;392600;805000;;;A90;A9013;0.93;;54.43;4479.08;107.5;473.22;186.43;5300.67;;;;;;;;;;
2000;30992;Estimated;Estimated using previous year's AADF on this link;A90;TU;391350;809035;;;A9012;A96;0.62;;36.06;7854.33;70.76;1105.43;368.55;9435.13;;;;;;;;;;
2000;40780;Counted;Manual count;A96;TR;386800;811210;;;B979;Bankhead Avenue;2.42;;165.41;12781.34;150.37;1332.09;798.72;15227.93;;;;;;;;;;
2000;40854;Estimated;Estimated using previous year's AADF on this link;A956;PU;394200;808100;;;A96/A9013;A978;1.18;;61.62;6014.36;545.11;1232;617.94;8471.04;;;;;;;;;;
2000;40861;Estimated;Estimated using previous year's AADF on this link;A93;PR;385000;801100;;;B979;B979;1.43;;37.56;5744.83;94.42;625.97;240.48;6743.25;;;;;;;;;;
2000;40869;Estimated;Estimated using previous year's AADF on this link;A96;PU;393100;808000;;;A978;B991;0.5;;33.57;2221.19;115.58;406.06;228.43;3004.83;;;;;;;;;;
2000;40991;Estimated;Estimated using previous year's AADF on this link;A90;TU;392640;804000;;;A9013;A93;0.81;;51.3;7440.6;35.68;779.85;493.56;8800.99;;;;;;;;;;
2000;41007;Estimated;Estimated using previous year's AADF on this link;A978;PU;394000;808500;;;A96;A956;0.75;;21.23;4225.57;97.43;715.78;181.8;5241.81;;;;;;;;;;
2000;50843;Estimated;Estimated using previous year's AADF on this link;A978;PU;392400;807600;;;A9011;A9012;0.19;;5.51;736.53;1.16;86.27;6.06;835.53;;;;;;;;;;
2000;50863;Estimated;Estimated using previous year's AADF on this link;A90;TU;391100;806200;;;B9119 Queen's Road;A944;0.99;;128.46;11161.12;79.11;1163.03;669.15;13200.88;;;;;;;;;;
2000;50866;Estimated;Estimated using previous year's AADF on this link;A9013;PU;393800;806000;;;A978;B986;0.43;;38.9;2103.26;399.44;425.16;60.17;3026.92;;;;;;;;;;
2000;74306;Estimated;Estimated using previous year's AADF on this link;A93;PR;383400;800930;;;LA boundary;B979;0.37;;5.44;503.09;8.03;71.58;25.86;613.99;;;;;;;;;;
